_id,date(mmm-yy),population_group,returned_from_housing,returned_to_shelter,newly_identified,moved_to_housing,became_inactive,actively_homeless,age__under_16,age_16-24,age_25-44,age_45-64,age_65over,gender_male,gender_female,"gender_transgender,non-binary_or_two_spirit",population_group_percentage_
440,dec-22,3,27,20,554,263,70,2529,1251,290,744,227,17,141,210,3,24.3%
441,dec-22,8,12,32,123,29,64,936,0,936,0,0,0,38,46,57,9.0%
442,dec-22,7,54,448,549,211,429,6943,0,0,3542,2767,604,424,358,83,66.7%
443,dec-22,5,62,476,621,240,481,6878,470,737,2609,2487,575,390,390,115,66.1%
444,dec-22,4,8,124,52,17,98,978,3,99,523,321,32,85,40,31,9.4%
445,jan-23,1,75,441,813,448,546,10702,1272,1242,4494,3082,612,509,482,141,100.0%
446,jan-23,2,8,56,556,284,190,5015,387,501,1811,1859,457,276,296,84,46.9%
447,jan-23,6,16,30,339,248,97,3575,795,502,1720,518,40,215,259,19,33.4%
448,jan-23,3,22,14,220,224,50,2508,1245,281,743,223,16,136,207,4,23.4%
449,jan-23,8,13,25,103,34,68,959,0,959,0,0,0,46,47,63,9.0%
450,jan-23,7,40,402,490,190,428,7235,0,0,3751,2859,596,435,382,96,67.6%
451,jan-23,5,59,411,474,200,449,7127,477,740,2774,2564,572,406,398,131,66.6%
452,jan-23,4,10,104,44,20,107,1018,2,99,558,326,33,90,46,35,9.5%
453,feb-23,1,73,438,865,492,674,10849,1231,1233,4645,3136,604,512,484,144,100.0%
454,feb-23,2,16,57,416,317,152,5001,373,477,1859,1855,437,277,290,87,46.1%
455,feb-23,6,20,34,382,302,114,3592,759,517,1752,526,38,218,249,19,33.1%
456,feb-23,3,11,13,255,215,108,2458,1213,268,741,219,17,133,198,3,22.7%
457,feb-23,8,13,24,110,59,68,963,0,963,0,0,0,49,46,63,8.9%
458,feb-23,7,49,401,500,218,498,7428,0,0,3904,2917,587,447,391,104,68.5%
459,feb-23,5,53,404,483,190,560,7257,472,716,2893,2610,566,415,403,136,66.9%
460,feb-23,4,8,105,48,19,105,1067,2,99,603,336,27,95,52,39,9.8%
461,mar-23,1,79,322,801,523,683,10811,1237,1237,4649,3083,605,511,481,143,100.0%
462,mar-23,2,14,53,463,304,135,5091,380,488,1916,1867,440,281,298,83,47.1%
463,mar-23,6,27,26,377,308,91,3633,764,537,1773,516,43,220,255,21,33.6%
464,mar-23,3,13,10,292,252,37,2475,1224,265,763,206,17,132,200,2,22.9%
465,mar-23,8,9,30,106,48,79,971,0,971,0,0,0,49,54,58,9.0%
466,mar-23,7,57,282,403,223,567,7365,0,0,3886,2877,588,445,384,109,68.1%
467,mar-23,5,52,296,424,215,592,7178,473,700,2876,2567,562,410,400,134,66.4%
468,mar-23,4,11,77,38,17,117,1078,4,109,596,339,30,95,60,38,10.0%
